rank,Youtuber,subscribers,video views,video count,category,started
1,Tsuriki Show,25200000,33422359320,3207,Entertainment,2019
2,Kidibli (Kinder Spielzeug Kanal),23100000,11654098216,1049,Entertainment,2015
3,Kurzgesagt – In a Nutshell,21200000,2460150095,192,Education,2013
4,HaerteTest,19700000,3256176112,1408,Science & Technology,2011
5,Talking Angela,12900000,3711633223,240,Entertainment,2014
6,Ice Cream Rolls,12300000,1627977227,2099,Entertainment,2011
7,FAMILY BOOMS,11900000,12741044630,1318,Entertainment,2021
8,Pamela Reif,9730000,1801565124,244,Howto & Style,2013
9,freekickerz,8620000,2423912869,1596,Sports,2010
10,Ameer Bros,8430000,1631623676,289,Entertainment,2018
11,German Spidey,7720000,8541011512,1246,Comedy,2021
12,Rammstein Official,7670000,5247703406,151,Entertainment,2015
13,The Voice Kids,7610000,2370513443,1350,Entertainment,2013
14,Noel Robinson,7580000,4897229752,1477,Entertainment,2015
15,COLORS,6930000,2634880288,868,Music,2016
16,EugenBro,6630000,2350523300,1341,Gaming,2015
17,TikTokTunes,6360000,4051646882,948,Music,2019
18,TheFatRat,6330000,1896982406,102,Music,2011
19,Zedd,6180000,3334873522,163,Music,2010
20,BibisBeautyPalace,5830000,2877119517,943,Howto & Style,2012
21,Ali Omar,5650000,660269511,839,Entertainment,2018
22,Unique Vibes,5640000,3328075130,1069,Music,2016
23,CloudKid,5330000,2883647735,2591,Entertainment,2013
24,Paluten,5100000,4963650350,7596,Gaming,2012
25,DW Documental,5010000,1174326439,550,People & Blogs,2017
26,Gronkh,4950000,3787755764,15720,Gaming,2006
27,DW News,4770000,2087274459,31757,News & Politics,2007
28,nadinebreaty,4630000,3430739901,1238,,2014
29,Essen Rezepte,4570000,855546712,474,People & Blogs,2020
30,Free Documentary,4520000,1056400708,704,Entertainment,2013
31,ProsafiaGaming,4430000,4482120732,2011,Gaming,2010
32,KinoCheck.com,4410000,3523058278,5778,Entertainment,2014
33,Scorpions,4410000,3013488608,479,Entertainment,2008
34,ArkivaShqip,4400000,7190408321,8806,Entertainment,2009
35,growingannanas,4190000,1917583882,749,Sports,2017
36,Craftronix,4180000,1329942876,371,Film & Animation,2013
37,Bundesliga,4180000,1865265061,8879,Sports,2006
38,Simon Desue,4180000,833872596,704,Entertainment,2009
39,Calisthenicmovement,4170000,506414715,330,Sports,2012
40,Mohamad Gowani محمد جواني,4120000,161546867,174,Entertainment,2016
41,FilmSelect Trailer,4060000,1987549454,1622,Entertainment,2016
